Total Alkaloids,Reducing Sugars,Total Sugars,Total Nitrogen,K,cl,pH,Starch,Neochlorogenic Acid,Chlorogenic Acid,Cryptochlorogenic Acid,Scopoletin,Rutin
3.496538004,15.32066113,17.59290588,2.605313663,1.998379892,7.110421785,5.015,3.872064383,1.612666882,11.1121957,2.4896374,0.354879007,9.824628814
3.152271023,15.04779189,16.4398857,2.461166779,2.029597319,7.802359579,4.875,3.960206165,1.551161638,10.40248357,2.510645191,0.406557964,8.47912514
3.776304435,16.70454659,20.58037646,2.715465877,1.77862512,4.577790846,4.99,4.797740086,1.717477572,9.788819187,2.390715931,0.272281188,10.5010739
3.458856159,13.37982463,14.90116738,2.504740216,2.048240656,4.852631079,4.895,3.37575213,1.608687617,9.936306708,2.616576939,0.462361758,7.900268979
3.028703051,19.88178038,23.89345993,1.863498594,2.262635925,4.750381771,4.76,5.264850929,1.22621641,9.39700564,2.046026657,0.259248021,7.051000346
2.907533119,18.77988135,22.35797118,2.008981252,2.681653447,5.707217018,4.95,4.333827733,1.695538793,10.45943187,2.617965906,0.244085175,8.189977994
2.706176207,20.99214833,25.76428965,1.89226089,2.427380878,2.609308952,4.94,4.10668937,2.029741854,14.39300798,3.336918928,0.184918797,10.98320362
3.444260088,15.88211186,20.2459561,2.21609968,2.404164505,6.451390565,4.94,3.522621165,1.519746526,11.16525712,2.421544749,0.248181117,10.82387956
2.650527305,22.88888872,26.21818417,1.770162964,2.427141379,8.664168691,4.845,5.231067899,1.238560824,9.666952724,2.051094506,0.222746806,7.233530231
2.302834482,16.39951031,18.47972738,1.951240132,2.969362572,7.684868541,4.99,3.44484914,1.819816058,10.01530661,2.808647567,0.342468278,8.014569581
2.409687427,22.8719064,26.38133546,1.777907648,2.402291486,5.343519413,5.14,5.739926384,1.807997028,13.85508968,2.706362271,0.208265207,12.09399452
3.204906911,17.25425263,19.61057623,2.226172635,2.647044713,2.89837588,4.97,4.766804848,1.44479931,10.85366037,2.133371357,0.312032902,11.62334503
2.817025034,19.84517045,25.65042474,1.851388407,2.442875957,3.340747787,5.095,4.459643249,1.999937208,13.91588159,3.115691562,0.143334997,13.27575357
3.212163057,17.84781998,23.19560512,2.057594664,2.49048654,3.600074038,5.06,4.129391692,1.91370262,13.08135427,2.90321652,0.179538863,11.28413947
3.172119425,19.2035739,25.71226231,1.959362512,2.322704329,2.558246406,5.065,4.641965028,2.042227383,15.03229942,3.301201501,0.145954768,12.99186086
3.697249056,16.66297786,20.51235249,2.22511149,2.661802289,6.909797625,5.015,3.969138996,1.506595411,11.82602687,2.370112515,0.221635254,11.4586792
2.299103555,21.3223279,26.11474548,1.820961991,2.718369789,1.799809305,5.22,4.396178617,2.456891437,18.47049071,3.917692039,0.178654914,14.00853056
3.663660758,16.71687137,18.64424072,2.267010317,2.564564889,6.772012492,4.79,4.498719638,1.06656798,8.532901994,1.75392753,0.312273793,9.180937536
2.127689366,23.87044407,26.50686716,1.758412867,2.338147604,3.247634017,4.845,5.33394455,1.54936551,10.64861389,2.486350356,0.219344237,8.291305374
3.546432856,13.70115063,16.48520599,2.350288999,3.093358632,5.977662311,4.98,3.157754112,1.234285995,9.61412372,1.930189401,0.30548823,9.581511169
2.473254678,22.40920511,25.71140903,1.798660703,2.276381537,3.447407147,4.835,4.880011717,1.762447334,12.2068197,2.936499256,0.196779244,9.379995948
2.856835088,20.42690187,25.04003064,1.888637479,2.413796779,2.672291273,4.92,5.001250772,1.808004484,12.8610521,2.871038997,0.210483898,10.14183468
2.567372467,20.58918188,23.6094976,1.922443453,2.541538922,4.625175719,4.79,5.36186194,1.321474805,9.837230715,2.158617679,0.371192218,6.764793129
2.568815086,22.09844413,26.62767581,1.769659997,2.40579809,2.971516259,4.995,5.508451962,1.903500837,13.01263728,2.970032666,0.178144369,10.25487466
2.670430357,18.38399609,20.67889944,2.017424204,2.662005371,3.534173285,4.705,5.023509071,1.350033098,8.613577311,2.19907998,0.431393851,6.519060065
2.930265725,12.2025986,14.12254465,2.330848472,2.631890449,3.723619856,4.67,4.755403034,1.072772129,6.531731797,1.635851075,0.572235525,5.916273988
3.074004114,19.3453667,22.97141239,1.987761244,2.420947284,6.248150026,4.935,4.668877895,1.540813665,9.703491764,2.404298175,0.253416094,7.988415373
2.978031003,18.86182299,24.51574494,1.953761278,2.140011109,2.548176111,5.04,4.660804482,1.962707115,14.77590647,3.184543857,0.166498328,12.67376878
2.139043743,21.04999106,24.47532028,1.817241332,2.659656588,2.285687929,5.055,3.974048972,2.316312129,16.96809612,3.756224817,0.288160134,12.36553651
2.258255018,20.16061459,23.74444549,1.866171373,2.528376028,2.393412386,5.01,4.31049416,2.13933631,15.22945796,3.441763307,0.300592069,11.28095563
3.581970438,16.12203365,21.50539394,2.174194925,2.299255347,4.544987754,5.015,4.375597935,1.633454893,11.67468361,2.545732093,0.182273649,10.88979762
3.279458072,17.78920909,19.94398233,2.227754902,2.591878116,4.990588313,5.03,3.898910234,1.564215131,11.12644861,2.355030765,0.296412305,10.42355471
2.651134304,20.02560713,22.08704073,2.048045261,2.570513903,3.571612085,4.97,4.960576739,1.596308861,12.52185864,2.559246012,0.2580689,10.79744453
3.02814276,18.43416277,21.869851,2.041287335,2.456982302,6.061550219,4.895,4.982537809,1.247553192,9.895029816,1.930932754,0.231760083,9.864964778
2.423086158,19.85926924,24.10869171,1.79481821,2.529986613,4.538586975,5.05,5.064546687,1.943209837,13.83277258,3.037856316,0.247207408,11.14088707
3.147469949,16.27857427,20.18760583,2.134565137,2.800951542,5.758828427,4.915,5.540805722,1.362695318,10.69384467,2.105478739,0.258877003,9.24658572
3.637102527,16.78865692,21.4135744,2.127406714,2.431422445,4.608037812,4.94,4.802737615,1.52425618,10.59861595,2.310379156,0.215300123,9.315493502
2.995763677,18.85238184,22.38603844,2.023518667,2.485037918,3.470439874,4.87,4.208822593,1.664123672,11.27873037,2.635579945,0.271162163,9.154040379
3.597121866,13.03028205,16.831053,2.363343911,2.791230379,5.152158535,4.92,3.847182665,1.270760241,10.26025781,2.030147932,0.311504788,9.934230995
