predictor,component,p,component_sign
1344,1,-0.0060109624282770561,-1
1345,1,-0.0094137115309327144,-1
1346,1,-0.011826244462710248,-1
1347,1,-0.013503391829604288,-1
1348,1,-0.016732026387820474,-1
1349,1,-0.018092060330269107,-1
1350,1,-0.019829488853260187,-1
1351,1,-0.022449833364432962,-1
1352,1,-0.023886325096598666,-1
1353,1,-0.025185030619606606,-1
1354,1,-0.027019497477239408,-1
1355,1,-0.02883105428753099,-1
1356,1,-0.030061780369064151,-1
1357,1,-0.031649957197779709,-1
1358,1,-0.032425003864979457,-1
1359,1,-0.034347450931860785,-1
1360,1,-0.036516404298043072,-1
1361,1,-0.037242573391312886,-1
1362,1,-0.038434166312149021,-1
1363,1,-0.039616305914817004,-1
1364,1,-0.04006890411731049,-1
1365,1,-0.040562013179243316,-1
1366,1,-0.040824315706761961,-1
1367,1,-0.041031397866842907,-1
1368,1,-0.040170763921723654,-1
1369,1,-0.038700703407044679,-1
1370,1,-0.037511692454018981,-1
1371,1,-0.036167072701633461,-1
1372,1,-0.034885724818621483,-1
1373,1,-0.03305108215199138,-1
1374,1,-0.031964572408916286,-1
1375,1,-0.029832503935326129,-1
1376,1,-0.028512658305448538,-1
1377,1,-0.026087207857953095,-1
1378,1,-0.024546209844118403,-1
1379,1,-0.023317876770016975,-1
1380,1,-0.021579949377987455,-1
1381,1,-0.020268175154333903,-1
1382,1,-0.018810604788515425,-1
1383,1,-0.017379985963610588,-1
1384,1,-0.015750543598425031,-1
1385,1,-0.015136169949727949,-1
1386,1,-0.013474664419969608,-1
1387,1,-0.012690518898664776,-1
1388,1,-0.011740263697259666,-1
1389,1,-0.01084634098899058,-1
1390,1,-0.0095137214528888663,-1
1391,1,-0.0088997387687472923,-1
1392,1,-0.0082810103508427629,-1
1393,1,-0.0081137841048987483,-1
1394,1,-0.0076701046287763483,-1
1395,1,-0.0084423830405751313,-1
1396,1,-0.0083101192166620853,-1
1397,1,-0.008900713732576275,-1
1398,1,-0.0091872175082975075,-1
1399,1,-0.0099735939155876502,-1
1400,1,-0.010074294094340266,-1
1401,1,-0.011094528000234884,-1
1402,1,-0.011871454134573722,-1
1403,1,-0.013431130548217434,-1
1404,1,-0.013796317465023394,-1
1405,1,-0.014534758761249784,-1
1406,1,-0.015762488642275904,-1
1407,1,-0.016818848570689382,-1
1408,1,-0.017167989454668058,-1
1409,1,-0.018220080928710813,-1
1410,1,-0.018910559331549174,-1
1411,1,-0.019772703645184415,-1
1412,1,-0.020307596422815356,-1
1413,1,-0.020994738227714665,-1
1414,1,-0.021429716373066895,-1
1415,1,-0.022050162935525447,-1
1416,1,-0.022425335836402289,-1
1417,1,-0.022697069580231544,-1
1418,1,-0.022457307256140806,-1
1419,1,-0.022656581450373262,-1
1420,1,-0.021963941273292469,-1
1421,1,-0.021862409022193365,-1
1422,1,-0.020988677329822746,-1
1423,1,-0.020047349126702432,-1
1424,1,-0.01843723450460721,-1
1425,1,-0.016407765842833481,-1
1426,1,-0.013718431572536429,-1
1427,1,-0.010481242621424957,-1
1428,1,-0.0071754884560336395,-1
1429,1,-0.0035435526635018066,-1
1430,1,0.00021582835189833035,-1
1431,1,0.0043002043174010874,-1
1432,1,0.0082082146664063139,-1
1433,1,0.01179549590922814,-1
1434,1,0.014808810142518745,-1
1435,1,0.016903234906925961,-1
1436,1,0.018551303159477339,-1
1437,1,0.019008936447621447,-1
1438,1,0.018717273755154428,-1
1439,1,0.017241863551295193,-1
1440,1,0.014867602275825708,-1
1441,1,0.011496083372903127,-1
1442,1,0.0080211054568629387,-1
1443,1,0.0043838213674290572,-1
1444,1,0.00018276955559651663,-1
1445,1,-0.00410873209323585,-1
1446,1,-0.0082468881184757717,-1
1447,1,-0.012284227189402284,-1
1448,1,-0.015700128424036564,-1
1449,1,-0.018598455724555648,-1
1450,1,-0.021295883965964608,-1
1451,1,-0.023261985490813743,-1
1452,1,-0.025438914093292284,-1
1453,1,-0.026736104481714585,-1
1454,1,-0.027560218020884156,-1
1455,1,-0.028581279936564848,-1
1456,1,-0.029344685063705651,-1
1457,1,-0.029935092060825137,-1
1458,1,-0.030309622060394864,-1
1459,1,-0.030468187521318035,-1
1460,1,-0.030822265288017993,-1
1461,1,-0.030791853444119246,-1
1462,1,-0.030482731307301423,-1
1463,1,-0.030826677986064008,-1
1464,1,-0.030311207560130282,-1
1465,1,-0.03019520880978635,-1
1466,1,-0.029966148600707468,-1
1467,1,-0.029913302045512881,-1
1468,1,-0.029602650938115236,-1
1469,1,-0.029547018478820315,-1
1470,1,-0.02968780437275375,-1
1471,1,-0.029676231121692421,-1
1472,1,-0.02911549482990828,-1
1473,1,-0.029200791330899371,-1
1474,1,-0.02903911294543382,-1
1475,1,-0.029254909756710325,-1
1476,1,-0.028875033719219963,-1
1477,1,-0.028603303807152487,-1
1478,1,-0.028538664667552567,-1
1479,1,-0.028192575009764055,-1
1480,1,-0.028196290105841022,-1
1481,1,-0.027865582556895096,-1
1482,1,-0.028014552549670398,-1
1483,1,-0.027582819897269753,-1
1484,1,-0.027392831946124786,-1
1485,1,-0.027104831081776609,-1
1486,1,-0.027041122660482846,-1
1487,1,-0.026445724223627096,-1
1488,1,-0.02630237311751844,-1
1489,1,-0.026056481469942619,-1
1490,1,-0.025879426581718684,-1
1491,1,-0.025413904561237651,-1
1492,1,-0.025061344893737202,-1
1493,1,-0.024926995382469428,-1
1494,1,-0.024777802305341819,-1
1495,1,-0.024474527595350921,-1
1496,1,-0.024212855532465511,-1
1497,1,-0.02366648464578084,-1
1498,1,-0.023556224684910379,-1
1499,1,-0.023144482966051261,-1
1500,1,-0.022361673693791127,-1
1501,1,-0.022247966265867558,-1
1502,1,-0.022138920669125435,-1
1503,1,-0.021634510444852803,-1
1504,1,-0.021446571883857738,-1
1505,1,-0.021295392071395882,-1
1506,1,-0.020703671957201845,-1
1507,1,-0.020502780775075186,-1
1508,1,-0.020241060597830093,-1
1509,1,-0.019524342898583864,-1
1510,1,-0.019222773458371173,-1
1511,1,-0.018748275937576987,-1
1512,1,-0.018094152976682609,-1
1513,1,-0.017387667548488611,-1
1514,1,-0.016959353719778324,-1
1515,1,-0.015967959574190952,-1
1516,1,-0.015693845208013195,-1
1517,1,-0.015046236178759591,-1
1518,1,-0.014421174614856765,-1
1519,1,-0.013880222362058671,-1
1520,1,-0.013559701022327024,-1
1521,1,-0.012743484328228725,-1
1522,1,-0.012282171188753485,-1
1523,1,-0.011934242610300254,-1
1524,1,-0.011621322069508134,-1
1525,1,-0.011532304219373721,-1
1526,1,-0.011173939519105454,-1
1527,1,-0.011016865869661016,-1
1528,1,-0.010585302863325959,-1
1529,1,-0.011036780294182017,-1
1530,1,-0.010658394751319281,-1
1531,1,-0.010477291947745196,-1
1532,1,-0.010774533693470851,-1
1533,1,-0.01088467880187354,-1
1534,1,-0.011122149894277688,-1
1535,1,-0.011468086065561088,-1
1536,1,-0.011769286973183994,-1
1537,1,-0.01179152479405334,-1
1538,1,-0.012142905015567002,-1
1539,1,-0.012491342539776502,-1
1540,1,-0.012945656650989736,-1
1541,1,-0.01331470417670007,-1
1542,1,-0.013298939297113711,-1
1543,1,-0.013666607972031949,-1
1544,1,-0.013684294578753186,-1
1545,1,-0.013317207735486532,-1
1546,1,-0.01357763555713735,-1
1547,1,-0.013384507728983404,-1
1548,1,-0.013556387623238837,-1
1549,1,-0.013765740177218891,-1
1550,1,-0.013667020945477445,-1
1551,1,-0.013416826227469531,-1
1552,1,-0.013281597381618163,-1
1553,1,-0.01328941636473076,-1
1554,1,-0.013010506209331172,-1
1555,1,-0.012633323028506132,-1
1556,1,-0.011938285750700085,-1
1557,1,-0.011760916902885483,-1
1558,1,-0.011504523043121885,-1
1559,1,-0.010968094835584696,-1
1560,1,-0.010241613263973885,-1
1561,1,-0.0096736418863417988,-1
